track_name,artist_name,streams,danceability_pct,energy_pct
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",46065667,76,58
CORAZï¿½ï¿½N VA,Maria Becerra,43857627,68,79
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",43522589,73,62
Crown,Kendrick Lamar,42485571,37,24
A Tale By Quincy,The Weeknd,41924466,46,50
Rich - Interlude,Kendrick Lamar,41210087,44,42
Curtains,Ed Sheeran,39893489,50,76
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",39709092,63,34
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",39666245,59,60
Enchanted (Taylor's Version),Taylor Swift,39578178,51,53
Back To December (Taylor's Version),Taylor Swift,39228929,50,64
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",39058561,77,62
Still With You,Jung Kook,38411956,53,47
Auntie Diaries,Kendrick Lamar,37778188,43,38
Every Angel is Terrifying,The Weeknd,37307967,44,94
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",37126685,77,55
Savior - Interlude,Kendrick Lamar,37091576,66,43
Mine (Taylor's Version),Taylor Swift,36912123,65,78
Don't ever say love me (feat. RM of BTS),"RM, Colde",34502215,54,48
Born With A Beer In My Hand,Morgan Wallen,34450974,53,81
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",33381454,49,37
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",32761689,92,51
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,32526947,53,66
Phantom Regret by Jim,The Weeknd,31959571,46,48
Mi Bello Angel,Natanael Cano,31873544,81,77
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,50,89
New Jeans,NewJeans,29562220,81,72
Danger (Spider) (Offset & JID),"Offset, JID",24975653,83,69
Rush,Troye Sivan,22581161,74,84
S91,Karol G,16011326,86,72
Overdrive,Post Malone,14780425,56,73
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",11956641,93,65
QUEMA,"Sog, Ryan Castro, Peso Pluma",11599388,79,89
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1365184,82,74
